singer_name,photo_url,singer_styles,date,n_songs
Mc Rael,https://www.vagalume.com.br/mc-rael/images/mc-rael.jpg,"['Funk Carioca', 'Rap', 'Rock']",2008-03-01,7
Mc's Samuka e Nego,https://www.vagalume.com.br/mcs-samuka-e-nego/images/mcs-samuka-e-nego.jpg,"['Funk Carioca', 'Funk', 'Dance']",2012-02-01,7
Rafael Vidalles,https://www.vagalume.com.br/rafael-vidalles/images/rafael-vidalles.jpg,"['Pop', 'Funk Carioca']",2017-03-01,7
Os Cretinos,https://www.vagalume.com.br/os-cretinos/images/os-cretinos.jpg,['Funk Carioca'],2008-11-01,6
Mulher Melão,https://www.vagalume.com.br/mc-frank-e-mulher-melao/images/mc-frank-e-mulher-melao.jpg,"['Funk Carioca', 'Dance', 'Funk']",2008-07-01,6
Renatinho e Alemão,https://www.vagalume.com.br/renatinho-e-alemao/images/renatinho-e-alemao.jpg,"['Funk Carioca', 'Rap', 'Hip Hop']",2006-05-01,6
MC Delley,https://www.vagalume.com.br/mc-delley/images/mc-delley.jpg,['Funk Carioca'],2015-06-01,6
MC J15,https://www.vagalume.com.br/mc-j15/images/mc-j15.jpg,"['Funk Carioca', 'Funk']",2014-10-01,6
Mc Vitêra,https://www.vagalume.com.br/mc-vitera/images/mc-vitera.jpg,"['Dance', 'Funk Carioca']",2017-10-01,6
Mc Mágico,https://www.vagalume.com.br/mc-magico/images/mc-magico.jpg,"['Funk Carioca', 'Pagode', 'Hip Hop']",2008-10-01,6
Mc Dodo 013,https://www.vagalume.com.br/mc-dodo-013/images/mc-dodo-013.jpg,"['Gospel/Religioso', 'Funk Carioca']",2015-02-01,6
Mc Princesa e Plebeu,https://www.vagalume.com.br/mc-princesa-e-plebeu/images/mc-princesa-e-plebeu.jpg,"['Funk Carioca', 'Funk', 'Axé']",2006-06-01,6
Backdi e Bio G3,https://www.vagalume.com.br/backdi-e-bio-g3/images/backdi-e-bio-g3.jpg,"['Funk Carioca', 'Funk', 'MPB']",2009-06-01,5
Mc Bruninho,https://www.vagalume.com.br/mc-bruninho/images/mc-bruninho.jpg,['Funk Carioca'],2007-11-01,5
Mc Coringa,https://www.vagalume.com.br/mc-coringa/images/mc-coringa.jpg,['Funk Carioca'],2008-03-01,5
